30 Minutes,Lane 1 Flow (Veh/30 Minutes),# Lane Points,% Observed 
15:41,25,1,100
16:32,25,1,100
19:08,50,1,100
16:02,25,1,100
14:18,25,1,100
15:36,25,1,100
19:08,50,1,100
11:09,25,1,100
00:14,50,1,100
13:34,25,1,100
12:12,25,1,100
12:24,25,1,100
19:28,25,1,100
21:37,25,1,100
00:14,25,1,100
12:59,25,1,100
02:02,25,1,100
12:31,25,1,100
01:21,25,1,100
00:34,25,1,100
16:14,25,1,100
15:36,25,1,100
14:13,25,1,100
12:08,25,1,100
12:31,25,1,100
13:50,25,1,100
16:05,50,1,100
16:09,50,1,100
19:28,25,1,100
01:06,25,1,100
20:32,25,1,100
21:37,25,1,100
21:07,25,1,100
14:10,50,1,100
12:36,25,1,100
22:56,25,1,100
21:59,50,1,100
12:16,25,1,100
18:44,75,1,100
13:11,25,1,100
10:09,25,1,100
23:28,25,1,100
19:42,25,1,100
16:40,75,1,100
21:59,50,1,100
19:11,50,1,100
18:41,50,1,100
20:10,50,1,100
19:08,50,1,100
14:04,25,1,100
10:50,25,1,100
15:02,25,1,100
12:31,25,1,100
13:21,25,1,100
19:41,75,1,100
21:37,25,1,100
18:15,25,1,100
16:04,25,1,100
00:13,25,1,100
01:26,25,1,100
11:16,25,1,100
21:37,25,1,100
00:33,25,1,100
01:06,25,1,100
12:46,50,1,100
11:40,25,1,100
01:13,25,1,100
16:59,50,1,100
17:12,25,1,100
00:11,25,1,100
22:42,25,1,100
12:12,25,1,100
14:32,25,1,100
23:38,25,1,100
21:37,25,1,100
23:13,25,1,100
01:30,25,1,100
22:06,50,1,100
17:46,50,1,100
21:44,50,1,100
16:14,25,1,100
21:37,25,1,100
13:38,25,1,100
20:13,50,1,100
23:28,25,1,100
23:10,25,1,100
13:51,25,1,100
15:40,25,1,100
21:37,25,1,100
18:31,50,1,100
23:06,25,1,100
21:59,50,1,100
16:14,25,1,100
22:08,50,1,100
15:31,50,1,100
18:45,25,1,100
16:32,25,1,100
17:37,25,1,100
01:21,25,1,100
23:13,25,1,100
14:37,25,1,100
15:13,50,1,100
15:52,25,1,100
12:52,25,1,100
00:07,25,1,100
00:33,25,1,100
12:31,25,1,100
13:42,25,1,100
13:28,50,1,100
14:13,25,1,100
12:52,25,1,100
12:04,25,1,100
19:18,50,1,100
01:50,25,1,100
22:12,25,1,100
13:10,25,1,100
18:42,50,1,100
01:21,25,1,100
11:17,25,1,100
16:24,25,1,100
02:02,25,1,100
14:13,25,1,100
11:43,25,1,100
21:27,50,1,100
14:42,50,1,100
23:51,25,1,100
01:21,25,1,100
22:34,25,1,100
00:07,25,1,100
20:34,50,1,100
13:51,25,1,100
21:37,25,1,100
14:32,25,1,100
13:42,25,1,100
18:30,25,1,100
17:46,25,1,100
00:36,25,1,100
19:53,25,1,100
18:01,75,1,100
12:00,25,1,100
17:23,25,1,100
21:37,25,1,100
17:43,75,1,100
18:30,25,1,100
15:36,25,1,100
12:16,25,1,100
10:17,25,1,100
15:37,25,1,100
22:52,25,1,100
18:05,25,1,100
18:41,50,1,100
16:32,25,1,100
11:39,25,1,100
14:43,25,1,100
22:41,25,1,100
13:38,25,1,100
18:00,50,1,100
22:13,25,1,100
19:28,25,1,100
14:30,25,1,100
00:11,25,1,100
18:15,25,1,100
21:44,50,1,100
19:18,50,1,100
16:07,25,1,100
17:37,25,1,100
16:46,50,1,100
18:05,25,1,100
17:12,25,1,100
15:53,25,1,100
18:01,25,1,100
00:54,50,1,100
12:41,25,1,100
22:36,25,1,100
21:37,25,1,100
11:36,25,1,100
22:54,25,1,100
01:13,25,1,100
10:59,25,1,100
15:36,25,1,100
23:45,25,1,100
14:38,25,1,100
15:42,25,1,100
00:36,25,1,100
18:45,25,1,100
12:52,25,1,100
00:12,50,1,100
15:33,25,1,100
11:12,25,1,100
18:04,25,1,100
14:38,25,1,100
19:39,50,1,100
01:06,25,1,100
13:10,25,1,100
14:43,25,1,100
14:00,25,1,100
22:27,25,1,100
16:09,50,1,100
15:07,25,1,100
16:36,25,1,100
18:01,75,1,100
11:06,25,1,100
19:26,50,1,100
12:12,25,1,100
15:11,25,1,100
00:41,25,1,100
16:39,25,1,100
12:52,25,1,100
12:35,25,1,100
19:23,50,1,100
11:09,25,1,100
02:02,25,1,100
18:31,50,1,100
15:36,25,1,100
19:12,50,1,100
01:21,25,1,100
01:06,25,1,100
19:28,25,1,100
23:37,25,1,100
02:02,25,1,100
15:35,50,1,100
12:52,25,1,100
14:30,25,1,100
19:46,50,1,100
23:38,25,1,100
12:16,25,1,100
16:04,50,1,100
11:30,25,1,100
12:28,25,1,100
23:49,25,1,100
23:16,25,1,100
15:36,25,1,100
00:41,25,1,100
11:35,25,1,100
12:08,25,1,100
